Start State,Algorithm,Runtime,Nodes Expanded,Search Depth
265087431,Beam,0.0045,603,53
265087431,Greedy,0.0106,455,79
265087431,A Star,0.0095,459,23
265087431,IDA Star,0.0191,1649,23
265087431,Beam,0.003,603,53
265087431,SHC,0.0,5,2
265087431,S-AHC,0.0,5,2
265087431,StoHC,0.001,5,2
265087431,SA,0.001,135,128
265087431,SA,0.001,135,121
265087431,SA,0.0021,135,129
265087431,SA,0.001,135,124
265087431,SA,0.001,135,125
265087431,SA,0.001,135,128
265087431,SA,0.0015,135,121
265087431,SA,0.0011,135,129
265087431,SA,0.0015,135,129
265087431,SA,0.0015,135,129
265087431,SA,0.001,135,128
265087431,SA,0.0011,135,128
265087431,SA,0.002,135,128
265087431,SA,0.001,135,124
265087431,SA,0.002,135,123
265087431,SA,0.002,135,128
265087431,SA,0.001,135,126
265087431,SA,0.001,135,122
265087431,SA,0.001,135,124
265087431,SA,0.001,135,124
265087431,Gen,0,0,0
265087431,Gen,0,0,0
265087431,Gen,0,0,0
265087431,Gen,0.1603,3400,36
265087431,SA,0.001,135,131
265087431,SA,0.001,135,127
265087431,StoHC,0.0,5,2
265087431,SHC,0.0,5,2
265087431,S-AHC,0.0,5,2
265087431,StoHC,0.0,5,2
265087431,SA,0.001,135,130
265087431,Gen,0,0,0
265087431,Gen,0,0,0
265087431,Gen,0,0,0
265087431,And-Or,0.4929,109331,50
2650--43-,B-BFS,3.763,7753,15
2650--43-,B-BFS,3.7361,7753,15
2-6-870--,B-BFS,4.7476,54323,20
1-4035--6,B-BFS,4.2132,29405,19
1-4035--6,B-BFS,4.241,29405,19
2650-87--,B-BFS,5.2603,75674,21
143---870,B-IDS,1.1457,137046,27
143---870,B-BFS,1.6027,80060,22
143---870,B-A Star,0.0249,1077,22
143---870,B-Greedy,0.0085,395,60
143---870,B-Beam,0.003,414,36
2650--4-1,B-BFS,4.2798,35575,19
2650--43-,B-BFS,3.7383,7753,15
265087---,B-BFS,3.8719,15890,17
265087---,B-BFS,3.911,15890,18
265087---,B-BFS,4.1062,15890,18
265087---,B-BFS,4.0629,15890,18
265087---,B-BFS,3.8748,15890,17
265087---,B-BFS,3.9257,15890,18
265087431,BFS,2.4773,114902,23
265087-31,B-IDS,5.9544,674066,31
265087-31,B-BFS,2.52,114902,24
265087-31,B-A Star,0.0085,459,23
26508-43-,B-BFS,7.0023,114902,23
1-4035--6,B-BFS,4.2471,29405,19
1432-578-,B-BFS,5.336,76243,22
1234-578-,B-BFS,0.0,13,2
14325-78-,B-BFS,7.2983,0,0
14325-78-,B-BFS,7.5299,0,0
123-54-78,B-BFS,7.2079,0,0
123------,B-BFS,0.1552,8431,15
123------,B-IDS,0.2364,29045,20
123--45--,B-BFS,0.1365,8305,15
